Designator,Mid X,Mid Y,Layer,Rotation
C_pwr_aux_0,196.59,-59.69,Top,0
C_pwr_aux_1,196.59,-67.31,Top,0
C_pwr_vcc_0,194.31,-24.13,Top,0
C_pwr_vcc_core_0,191.77,-39.37,Top,0
C_pwr_vcc_core_1,191.77,-46.99,Top,0
D_in_acc_r_0,62.19,-55.34,Top,0
D_in_acc_w_0,92.67,-68.58,Top,0
D_in_bus1_one_0,64.73,-93.44,Top,0
D_in_bus1_ps_0,64.73,-88.36,Top,0
D_in_clk_manual_0,34.25,-141.7,Top,0
D_in_iar_r_0,54.57,-40.1,Top,0
D_in_iar_w_0,92.67,-48.26,Top,0
D_in_ir_r_0,59.65,-48.26,Top,0
D_in_ir_w_0,92.67,-58.42,Top,0
D_in_is_bus1_w_0,57.11,-80.74,Top,0
D_in_is_clk_external_0,59.65,-139.16,Top,0
D_in_is_clk_high_0,59.65,-144.24,Top,0
D_in_is_clk_low_0,59.65,-149.32,Top,0
D_in_is_clk_manual_0,59.65,-154.4,Top,0
D_in_is_clk_veryhigh_0,59.65,-134.08,Top,0
D_in_manual_input_r_0,26.63,-55.34,Top,0
D_in_none_r_0,44.41,-37.56,Top,0
D_in_r0_r_0,54.57,-70.58,Top,0
D_in_r0_w_0,118.07,-58.42,Top,0
D_in_r1_r_0,44.41,-73.12,Top,0
D_in_r1_w_0,118.07,-68.58,Top,0
D_in_r2_r_0,34.25,-70.58,Top,0
D_in_r2_w_0,118.07,-78.74,Top,0
D_in_r3_r_0,29.17,-62.96,Top,0
D_in_r3_w_0,118.07,-88.9,Top,0
D_in_ram_a_w_0,92.67,-78.74,Top,0
D_in_ram_r_0,59.65,-62.96,Top,0
D_in_ram_w_0,92.67,-88.9,Top,0
D_in_read_reg_en_0,57.11,-29.94,Top,0
D_in_temp_w_0,118.07,-48.26,Top,0
D_in_write_reg_en_0,107.91,-29.94,Top,0
D_out_acc_r_0,34.25,-111.22,Top,0
D_out_acc_w_0,34.25,-118.84,Top,0
D_out_bus1_0,49.49,-111.22,Top,0
D_out_can_read_0,18.77,-29.94,Top,0
D_out_can_write_0,82.51,-29.94,Top,0
D_out_clk_internal_0,34.25,-146.78,Top,0
D_out_clkc_0,77.43,-144.24,Top,0
D_out_clkr_0,77.43,-149.32,Top,0
D_out_clkw_0,77.43,-154.4,Top,0
D_out_flags_C_out_0,146.01,-144.24,Top,0
D_out_flags_eq_0,176.49,-144.24,Top,0
D_out_flags_gt_0,161.25,-144.24,Top,0
D_out_flags_w_0,74.89,-118.84,Top,0
D_out_flags_z_0,191.73,-144.24,Top,0
D_out_iar_r_0,26.63,-111.22,Top,0
D_out_iar_w_0,26.63,-118.84,Top,0
D_out_ir_w_0,49.49,-118.84,Top,0
D_out_is_bus1_w_0,18.77,-80.74,Top,0
D_out_r0_r_0,85.05,-111.22,Top,0
D_out_r0_w_0,85.05,-118.84,Top,0
D_out_r1_r_0,92.67,-111.22,Top,0
D_out_r1_w_0,92.67,-118.84,Top,0
D_out_r2_r_0,100.29,-111.22,Top,0
D_out_r2_w_0,100.29,-118.84,Top,0
D_out_r3_r_0,107.91,-111.22,Top,0
D_out_r3_w_0,107.91,-118.84,Top,0
D_out_ram_a_w_0,64.73,-118.84,Top,0
D_out_ram_r_0,41.87,-111.22,Top,0
D_out_ram_w_0,41.87,-118.84,Top,0
D_out_s1_0,85.05,-144.24,Top,0
D_out_s2_0,92.67,-144.24,Top,0
D_out_s3_0,100.29,-144.24,Top,0
D_out_s4_0,107.91,-144.24,Top,0
D_out_s5_0,115.53,-144.24,Top,0
D_out_s6_0,123.15,-144.24,Top,0
D_out_sysbus_0,206.97,-116.3,Top,0
D_out_sysbus_1,196.81,-116.3,Top,0
D_out_sysbus_2,186.65,-116.3,Top,0
D_out_sysbus_3,176.49,-116.3,Top,0
D_out_sysbus_4,166.33,-116.3,Top,0
D_out_sysbus_5,156.17,-116.3,Top,0
D_out_sysbus_6,146.01,-116.3,Top,0
D_out_sysbus_7,135.85,-116.3,Top,0
D_out_temp_w_0,57.11,-118.84,Top,0
D_vcc_0,6.31,-88.36,Top,0
R_d_in_acc_r_0,67.31,-58.42,Top,0
R_d_in_acc_w_0,97.79,-68.58,Top,180
R_d_in_bus1_one_0,72.39,-93.44,Top,0
R_d_in_bus1_ps_0,72.39,-88.36,Top,180
R_d_in_clk_manual_0,34.29,-137.16,Top,0
R_d_in_iar_r_0,50.8,-36.83,Top,0
R_d_in_iar_w_0,97.79,-48.26,Top,180
R_d_in_ir_r_0,67.58,-50.8,Top,0
R_d_in_ir_w_0,97.79,-58.42,Top,180
R_d_in_is_bus1_w_0,57.11,-85.09,Top,0
R_d_in_is_clk_external_0,66.04,-139.16,Top,180
R_d_in_is_clk_high_0,66.04,-144.24,Top,180
R_d_in_is_clk_low_0,66.04,-149.32,Top,180
R_d_in_is_clk_manual_0,66.04,-154.4,Top,180
R_d_in_is_clk_veryhigh_0,66.04,-134.08,Top,180
R_d_in_manual_input_r_0,22.86,-59.69,Top,0
R_d_in_none_r_0,35.29,-38.1,Top,0
R_d_in_r0_r_0,54.61,-74.93,Top,0
R_d_in_r0_w_0,123.19,-58.42,Top,180
R_d_in_r1_r_0,44.45,-77.47,Top,0
R_d_in_r1_w_0,123.19,-68.58,Top,180
R_d_in_r2_r_0,34.25,-77.47,Top,0
R_d_in_r2_w_0,123.19,-78.74,Top,180
R_d_in_r3_r_0,26.67,-67.31,Top,0
R_d_in_r3_w_0,123.19,-88.9,Top,180
R_d_in_ram_a_w_0,97.79,-78.74,Top,180
R_d_in_ram_r_0,60.96,-67.31,Top,0
R_d_in_ram_w_0,97.79,-88.9,Top,180
R_d_in_read_reg_en_0,57.15,-34.29,Top,0
R_d_in_temp_w_0,123.19,-48.26,Top,180
R_d_in_write_reg_en_0,107.95,-34.29,Top,0
R_in_acc_r_0,68.31,-53.34,Top,0
R_in_acc_w_0,92.67,-73.66,Top,0
R_in_bus1_0,46.99,-88.9,Top,90
R_in_clk_manual_0,24.13,-137.16,Top,0
R_in_iar_r_0,59.69,-43.18,Top,0
R_in_iar_w_0,92.71,-53.34,Top,0
R_in_ir_r_0,64.77,-45.72,Top,0
R_in_ir_w_0,92.67,-63.5,Top,0
R_in_is_bus1_w_0,45.45,-81.28,Top,180
R_in_is_clk_external_0,42.91,-139.7,Top,180
R_in_is_clk_high_0,42.91,-144.78,Top,180
R_in_is_clk_low_0,42.91,-149.86,Top,180
R_in_is_clk_manual_0,42.91,-154.94,Top,180
R_in_is_clk_veryhigh_0,42.91,-134.62,Top,180
R_in_manual_input_o_0,207.01,-76.2,Top,0
R_in_manual_input_o_1,196.85,-76.2,Top,0
R_in_manual_input_o_2,186.69,-76.2,Top,0
R_in_manual_input_o_3,176.53,-76.2,Top,0
R_in_manual_input_o_4,166.37,-76.2,Top,0
R_in_manual_input_o_5,156.21,-76.2,Top,0
R_in_manual_input_o_6,146.05,-76.2,Top,0
R_in_manual_input_o_7,134.89,-76.2,Top,0
R_in_manual_input_r_0,19.05,-55.88,Top,180
R_in_r0_r_0,62.23,-71.12,Top,0
R_in_r0_w_0,118.11,-63.5,Top,0
R_in_r1_r_0,39.37,-77.47,Top,0
R_in_r1_w_0,118.11,-73.66,Top,0
R_in_r2_r_0,27.94,-72.39,Top,180
R_in_r2_w_0,118.11,-83.82,Top,0
R_in_r3_r_0,21.59,-63.5,Top,180
R_in_r3_w_0,118.11,-93.98,Top,0
R_in_ram_a_w_0,92.67,-83.82,Top,0
R_in_ram_r_0,67.31,-63.5,Top,0
R_in_ram_w_0,92.67,-93.98,Top,0
R_in_read_reg_en_0,46.99,-30.48,Top,0
R_in_temp_w_0,118.11,-53.34,Top,0
R_in_write_reg_en_0,100.33,-30.48,Top,0
R_out_acc_r_0,34.25,-115.57,Top,0
R_out_acc_w_0,34.25,-123.19,Top,0
R_out_bus1_0,49.49,-115.57,Top,0
R_out_can_read_0,27.67,-29.94,Top,0
R_out_can_write_0,90.17,-30.48,Top,0
R_out_clk_internal_0,34.25,-151.13,Top,0
R_out_clkc_0,71.12,-144.24,Top,180
R_out_clkr_0,71.12,-149.32,Top,180
R_out_clkw_0,71.12,-154.4,Top,180
R_out_flags_C_out_0,146.01,-148.59,Top,0
R_out_flags_eq_0,176.49,-148.59,Top,0
R_out_flags_gt_0,161.25,-148.59,Top,0
R_out_flags_w_0,74.89,-123.19,Top,0
R_out_flags_z_0,191.77,-148.59,Top,0
R_out_iar_r_0,26.63,-115.57,Top,0
R_out_iar_w_0,26.63,-123.19,Top,0
R_out_ir_w_0,49.49,-123.19,Top,0
R_out_is_bus1_w_0,18.77,-85.09,Top,0
R_out_r0_r_0,85.05,-115.57,Top,0
R_out_r0_w_0,85.05,-123.19,Top,0
R_out_r1_r_0,92.67,-115.57,Top,0
R_out_r1_w_0,92.67,-123.19,Top,0
R_out_r2_r_0,100.29,-115.57,Top,0
R_out_r2_w_0,100.29,-123.19,Top,0
R_out_r3_r_0,107.91,-115.57,Top,0
R_out_r3_w_0,107.91,-123.19,Top,0
R_out_ram_a_w_0,64.73,-123.19,Top,0
R_out_ram_r_0,41.87,-115.57,Top,0
R_out_ram_w_0,41.87,-123.19,Top,0
R_out_s1_0,85.05,-148.59,Top,0
R_out_s2_0,92.67,-148.59,Top,0
R_out_s3_0,100.33,-148.59,Top,0
R_out_s4_0,107.95,-148.59,Top,0
R_out_s5_0,115.53,-148.59,Top,0
R_out_s6_0,123.15,-148.59,Top,0
R_out_sysbus_0,206.97,-120.65,Top,0
R_out_sysbus_1,196.81,-120.65,Top,0
R_out_sysbus_2,186.65,-120.65,Top,0
R_out_sysbus_3,176.49,-120.65,Top,0
R_out_sysbus_4,166.33,-120.65,Top,0
R_out_sysbus_5,156.17,-120.65,Top,0
R_out_sysbus_6,146.01,-120.65,Top,0
R_out_sysbus_7,135.85,-120.65,Top,0
R_out_temp_w_0,57.11,-123.19,Top,0
R_reset_0,8.89,-111.76,Top,0
R_vcc_0,6.35,-92.71,Top,0
U_pwr_vcc_1,194.31,-31.75,Top,0
